#Copied from the Ultranomicon Wiki (http://wiki.uqm.stack.nl/List_of_stars). Feel free to add your own locations.
Constellation	Star	Color	Size	Coordinates	Notes
Sol	-	Yellow	Dwarf	175.2:145.0	Human Homeworld (planet III)
Squidi	Alpha	Green	Dwarf	214.5:391.6	-
Squidi	Beta	Orange	Dwarf	206.2:399.1	-
Squidi	Gamma	Red	Dwarf	214.5:420.8	-
Tauri	Alpha	Green	Dwarf	022.9:366.6	Ilwrath Homeworld (planet I)
Tauri	Beta	White	Dwarf	028.8:373.5	-
Tauri	Gamma	Blue	Dwarf	026.7:364.5	-
Tauri	Delta	White	Dwarf	016.5:377.0	-
Tauri	Epsilon	Red	Dwarf	014.9:351.9	-
Tauri	Zeta	Blue	Dwarf	009.0:361.4	-
Telescopi	Alpha	White	Dwarf	028.5:402.0	-
Telescopi	Beta	Orange	Dwarf	029.1:410.4	-
Telescopi	Gamma	Blue	Dwarf	050.0:418.7	-
Tranguli	Alpha	Blue	Dwarf	793.4:031.8	-
Tranguli	Beta	Blue	Dwarf	795.8:027.0	-
Tranguli	Gamma	Red	Dwarf	806.2:031.8	-
Tucanae	Alpha	Green	Dwarf	400.0:543.7	Zoq-Fot-Pik Homeworld (planet I)
Tucanae	Beta	Orange	Dwarf	393.7:562.5	-
Tucanae	Gamma	Red	Dwarf	408.3:551.3	-
Unknown	-	Green	-	043.8:637.2	QuasiSpace portal
Vega	-	Red	Dwarf	033.3:975.0	-
Vela	-	Yellow	Dwarf	334.5:193.1	Human colony (planet I)
Velorum	Alpha	Blue	Dwarf	086.0:406.5	-
Velorum	Beta	Orange	Dwarf	092.6:397.2	-
Virginis	Alpha	Green	Dwarf	029.1:325.0	-
Virginis	Beta	Green	Dwarf	050.1:325.9	-
Virginis	Gamma	Red	Dwarf	079.1:327.0	-
Virginis	Delta	White	Dwarf	110.4:333.3	-
Vitalis	Alpha	Blue	Dwarf	300.0:350.0	-
Vitalis	Beta	Blue	Dwarf	318.7:337.5	-
Vitalis	Gamma	Red	Dwarf	308.3:367.4	-
Vitalis	Delta	Red	Dwarf	277.0:362.5	-
Volantis	Alpha	Yellow	Dwarf	095.1:177.0	-
Volantis	Beta	White	Dwarf	114.0:184.7	-
Volantis	Gamma	Green	Dwarf	104.8:191.9	-
Volantis	Delta	Yellow	Dwarf	097.7:195.3	-
Volantis	Epsilon	Green	Dwarf	070.5:183.8	-
Volantis	Zeta	Blue	Giant	073.6:173.7	-
Volantis	Eta	Green	Dwarf	065.0:164.6	-
Vulpeculae	Alpha	Green	Super-Giant	365.4:258.7	-
Vulpeculae	Beta	Green	Dwarf	364.1:251.2	-
Vulpeculae	Gamma	Green	Dwarf	371.3:253.7	Orz Homeworld (planet I)
Vulpeculae	Delta	Green	Dwarf	372.1:261.9	Taalo Homeworld (moon II-C)
Vulpeculae	Epsilon	Green	Dwarf	366.8:266.6	-
Vulpeculae	Zeta	Green	Dwarf	360.8:263.7	-
Vulpeculae	Eta	Green	Dwarf	358.7:256.6	Androsynth adopted Homeworld (planet II)
Wolf	Alpha	Red	Dwarf	160.1:174.6	-
Wolf	Beta	Yellow	Dwarf	166.6:181.2	-
Zeeman	-	White	Super-Giant	335.2:194.0	-
